"sample_name","sample_title","organism","strain","age","sex","tissue","collection_date","Dataset","Run","Sample","Replicate","GMCode","TZCode","Locus","Abbreviation","ChimpNumber","Alive","title","library_ID","design_description","library_strategy","library_source","library_selection","library_layout","platform","instrument_model","filetype","filename","filename2","Filename","SRR"
"170717_M00281_0245_000000000-BBYDN_Rep3-3-GM1_S73_L001","Dataset_1-GM_1542-Locus_3","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170717_M00281_0245_000000000-BBYDN","1",3,1542,,"3","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_3","170717_M00281_0245_000000000-BBYDN_Rep3-3-GM1_S73_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-3-GM1_S73_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-3-GM1_S73_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-3-GM1_S73_L001_R1_001.fastq.gz","SRR6741596"
"170721_M00281_0248_000000000-BBWCL_Pooled-3-GM1_S73_L001","Dataset_1-GM_1542-Locus_3","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170721_M00281_0248_000000000-BBWCL","1",,1542,,"3","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_3","170721_M00281_0248_000000000-BBWCL_Pooled-3-GM1_S73_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-3-GM1_S73_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-3-GM1_S73_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-3-GM1_S73_L001_R1_001.fastq.gz","SRR6742462"
"170710_M00281_0242_000000000-BBC66_Rep1-4-GM1_S85_L001","Dataset_1-GM_1542-Locus_4","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170710_M00281_0242_000000000-BBC66","1",1,1542,,"4","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_4","170710_M00281_0242_000000000-BBC66_Rep1-4-GM1_S85_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-4-GM1_S85_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-4-GM1_S85_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-4-GM1_S85_L001_R1_001.fastq.gz","SRR6741921"
"170712_M00281_0243_000000000-BBD2K_Rep2-4-GM1_S85_L001","Dataset_1-GM_1542-Locus_4","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170712_M00281_0243_000000000-BBD2K","1",2,1542,,"4","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_4","170712_M00281_0243_000000000-BBD2K_Rep2-4-GM1_S85_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-4-GM1_S85_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-4-GM1_S85_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-4-GM1_S85_L001_R1_001.fastq.gz","SRR6741928"
"170717_M00281_0245_000000000-BBYDN_Rep3-4-GM1_S85_L001","Dataset_1-GM_1542-Locus_4","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170717_M00281_0245_000000000-BBYDN","1",3,1542,,"4","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_4","170717_M00281_0245_000000000-BBYDN_Rep3-4-GM1_S85_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-4-GM1_S85_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-4-GM1_S85_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-4-GM1_S85_L001_R1_001.fastq.gz","SRR6741927"
"170721_M00281_0248_000000000-BBWCL_Pooled-4-GM1_S85_L001","Dataset_1-GM_1542-Locus_4","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170721_M00281_0248_000000000-BBWCL","1",,1542,,"4","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_4","170721_M00281_0248_000000000-BBWCL_Pooled-4-GM1_S85_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-4-GM1_S85_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-4-GM1_S85_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-4-GM1_S85_L001_R1_001.fastq.gz","SRR6741922"
"170710_M00281_0242_000000000-BBC66_Rep1-A-GM1_S1_L001","Dataset_1-GM_1542-Locus_A","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170710_M00281_0242_000000000-BBC66","1",1,1542,,"A","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_A","170710_M00281_0242_000000000-BBC66_Rep1-A-GM1_S1_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-A-GM1_S1_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-A-GM1_S1_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-A-GM1_S1_L001_R1_001.fastq.gz","SRR6741598"
"170712_M00281_0243_000000000-BBD2K_Rep2-A-GM1_S1_L001","Dataset_1-GM_1542-Locus_A","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170712_M00281_0243_000000000-BBD2K","1",2,1542,,"A","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_A","170712_M00281_0243_000000000-BBD2K_Rep2-A-GM1_S1_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-A-GM1_S1_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-A-GM1_S1_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-A-GM1_S1_L001_R1_001.fastq.gz","SRR6741930"
"170717_M00281_0245_000000000-BBYDN_Rep3-A-GM1_S1_L001","Dataset_1-GM_1542-Locus_A","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170717_M00281_0245_000000000-BBYDN","1",3,1542,,"A","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_A","170717_M00281_0245_000000000-BBYDN_Rep3-A-GM1_S1_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-A-GM1_S1_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-A-GM1_S1_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-A-GM1_S1_L001_R1_001.fastq.gz","SRR6741929"
"170721_M00281_0248_000000000-BBWCL_Pooled-A-GM1_S1_L001","Dataset_1-GM_1542-Locus_A","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170721_M00281_0248_000000000-BBWCL","1",,1542,,"A","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_A","170721_M00281_0248_000000000-BBWCL_Pooled-A-GM1_S1_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-A-GM1_S1_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-A-GM1_S1_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-A-GM1_S1_L001_R1_001.fastq.gz","SRR6741926"
"170710_M00281_0242_000000000-BBC66_Rep1-B-GM1_S13_L001","Dataset_1-GM_1542-Locus_B","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170710_M00281_0242_000000000-BBC66","1",1,1542,,"B","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_B","170710_M00281_0242_000000000-BBC66_Rep1-B-GM1_S13_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-B-GM1_S13_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-B-GM1_S13_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-B-GM1_S13_L001_R1_001.fastq.gz","SRR6742294"
"170712_M00281_0243_000000000-BBD2K_Rep2-B-GM1_S13_L001","Dataset_1-GM_1542-Locus_B","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170712_M00281_0243_000000000-BBD2K","1",2,1542,,"B","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_B","170712_M00281_0243_000000000-BBD2K_Rep2-B-GM1_S13_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-B-GM1_S13_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-B-GM1_S13_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-B-GM1_S13_L001_R1_001.fastq.gz","SRR6742291"
"170717_M00281_0245_000000000-BBYDN_Rep3-B-GM1_S13_L001","Dataset_1-GM_1542-Locus_B","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170717_M00281_0245_000000000-BBYDN","1",3,1542,,"B","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_B","170717_M00281_0245_000000000-BBYDN_Rep3-B-GM1_S13_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-B-GM1_S13_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-B-GM1_S13_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-B-GM1_S13_L001_R1_001.fastq.gz","SRR6742292"
"170721_M00281_0248_000000000-BBWCL_Pooled-B-GM1_S13_L001","Dataset_1-GM_1542-Locus_B","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170721_M00281_0248_000000000-BBWCL","1",,1542,,"B","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_B","170721_M00281_0248_000000000-BBWCL_Pooled-B-GM1_S13_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-B-GM1_S13_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-B-GM1_S13_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-B-GM1_S13_L001_R1_001.fastq.gz","SRR6742293"
"170710_M00281_0242_000000000-BBC66_Rep1-C-GM1_S25_L001","Dataset_1-GM_1542-Locus_C","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170710_M00281_0242_000000000-BBC66","1",1,1542,,"C","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_C","170710_M00281_0242_000000000-BBC66_Rep1-C-GM1_S25_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-C-GM1_S25_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-C-GM1_S25_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-C-GM1_S25_L001_R1_001.fastq.gz","SRR6741788"
"170712_M00281_0243_000000000-BBD2K_Rep2-C-GM1_S25_L001","Dataset_1-GM_1542-Locus_C","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170712_M00281_0243_000000000-BBD2K","1",2,1542,,"C","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_C","170712_M00281_0243_000000000-BBD2K_Rep2-C-GM1_S25_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-C-GM1_S25_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-C-GM1_S25_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-C-GM1_S25_L001_R1_001.fastq.gz","SRR6741785"
"170717_M00281_0245_000000000-BBYDN_Rep3-C-GM1_S25_L001","Dataset_1-GM_1542-Locus_C","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170717_M00281_0245_000000000-BBYDN","1",3,1542,,"C","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_C","170717_M00281_0245_000000000-BBYDN_Rep3-C-GM1_S25_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-C-GM1_S25_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-C-GM1_S25_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-C-GM1_S25_L001_R1_001.fastq.gz","SRR6741786"
"170721_M00281_0248_000000000-BBWCL_Pooled-C-GM1_S25_L001","Dataset_1-GM_1542-Locus_C","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170721_M00281_0248_000000000-BBWCL","1",,1542,,"C","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_C","170721_M00281_0248_000000000-BBWCL_Pooled-C-GM1_S25_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-C-GM1_S25_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-C-GM1_S25_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-C-GM1_S25_L001_R1_001.fastq.gz","SRR6741787"
"170710_M00281_0242_000000000-BBC66_Rep1-D-GM1_S37_L001","Dataset_1-GM_1542-Locus_D","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170710_M00281_0242_000000000-BBC66","1",1,1542,,"D","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_D","170710_M00281_0242_000000000-BBC66_Rep1-D-GM1_S37_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-D-GM1_S37_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-D-GM1_S37_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-D-GM1_S37_L001_R1_001.fastq.gz","SRR6742288"
"170712_M00281_0243_000000000-BBD2K_Rep2-D-GM1_S37_L001","Dataset_1-GM_1542-Locus_D","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170712_M00281_0243_000000000-BBD2K","1",2,1542,,"D","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_D","170712_M00281_0243_000000000-BBD2K_Rep2-D-GM1_S37_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170712_M00281_0243_000000000-BBD2K_Rep2-D-GM1_S37_L001_R1_001.fastq.gz","170712_M00281_0243_000000000-BBD2K_Rep2-D-GM1_S37_L001_R2_001.fastq.gz","data/prepared/170712_M00281_0243_000000000-BBD2K_Rep2-D-GM1_S37_L001_R1_001.fastq.gz","SRR6742444"
"170717_M00281_0245_000000000-BBYDN_Rep3-D-GM1_S37_L001","Dataset_1-GM_1542-Locus_D","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170717_M00281_0245_000000000-BBYDN","1",3,1542,,"D","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_D","170717_M00281_0245_000000000-BBYDN_Rep3-D-GM1_S37_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170717_M00281_0245_000000000-BBYDN_Rep3-D-GM1_S37_L001_R1_001.fastq.gz","170717_M00281_0245_000000000-BBYDN_Rep3-D-GM1_S37_L001_R2_001.fastq.gz","data/prepared/170717_M00281_0245_000000000-BBYDN_Rep3-D-GM1_S37_L001_R1_001.fastq.gz","SRR6742443"
"170721_M00281_0248_000000000-BBWCL_Pooled-D-GM1_S37_L001","Dataset_1-GM_1542-Locus_D","pan troglodytes","schweinfurthii","not collected","female","feces","2009-01-19",1,"170721_M00281_0248_000000000-BBWCL","1",,1542,,"D","Ch-106",106,"Yes","Dataset_1-GM_1542-Locus_D","170721_M00281_0248_000000000-BBWCL_Pooled-D-GM1_S37_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170721_M00281_0248_000000000-BBWCL_Pooled-D-GM1_S37_L001_R1_001.fastq.gz","170721_M00281_0248_000000000-BBWCL_Pooled-D-GM1_S37_L001_R2_001.fastq.gz","data/prepared/170721_M00281_0248_000000000-BBWCL_Pooled-D-GM1_S37_L001_R1_001.fastq.gz","SRR6742287"
"170710_M00281_0242_000000000-BBC66_Rep1-1-GM10_S58_L001","Dataset_1-GM_3505-Locus_1","pan troglodytes","schweinfurthii","not collected","female","feces","2013-04-20",1,"170710_M00281_0242_000000000-BBC66","10",1,3505,,"1","NAS",22,"Yes","Dataset_1-GM_3505-Locus_1","170710_M00281_0242_000000000-BBC66_Rep1-1-GM10_S58_L001","Microsatellite DNA from fecal samples","AMPLICON","GENOMIC","PCR","Paired","ILLUMINA","Illumina MiSeq","fastq","170710_M00281_0242_000000000-BBC66_Rep1-1-GM10_S58_L001_R1_001.fastq.gz","170710_M00281_0242_000000000-BBC66_Rep1-1-GM10_S58_L001_R2_001.fastq.gz","data/prepared/170710_M00281_0242_000000000-BBC66_Rep1-1-GM10_S58_L001_R1_001.fastq.gz","SRR6741677"
